# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|96|ELCA10096|C03001|C03001|100|Colombo|EXPOLANKA FREIGHT (PVT)LTD|N|C|MR. S. YUSOOF||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya|||
|97|ELCA10097|C03002|C03002|100|Colombo|FORWARDAIR LOGISTICS (PVT) LTD|N|C|MR. MR.NEMANTHA HATHARSINGHE||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||114740004-7000|
|98|ELCA10098|C03004|C03004|100|Colombo|WORLD EXPRESS (CMB) (PVT) LTD|N|C|MR. A.M.S.FERNANDO||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya|||
|99|ELCA10099|C03005|C03005|100|Colombo|ABANS AUTO (PVT) LTD|N|C|MR.A.PESTONJEE, S. DUBASH"||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||174822697-7000|
|100|ELCA10100|C03006|C03006|100|Colombo|BROWNS THERMAL ENGINEERING (PVT) LIMITED|N|C|MR.P.V.A.S. PEIRIS||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||114199141-7000|
|101|ELCA10101|C05009|C05009|100|Colombo|COLOMBO LOGI. WORLD PVT LTD|N|C|||Wholesale Price|R03 - Piliyandala|Colombo 05|||
|102|ELCA10102|C05010|C05010|100|Colombo|DIRECTOR OF POLICE TRANSPORT|N|C|MR.KAPILA JAYASEKARA||Wholesale Price|R03 - Piliyandala|Colombo 05|||
|103|ELCA10103|C05011|C05011|100|Colombo|EURO MOTORS (PVT) LTD.|N|C|MR. MR. MURSHID||Wholesale Price|R03 - Piliyandala|Colombo 05|||
|104|ELCA10104|C05013|C05013|100|Colombo|THUDAWE BROTHERS (PVT) LTD|N|C|||Wholesale Price|R03 - Piliyandala|Colombo 05||104006213-7000|
|105|ELCA10105|C05014|C05014|100|Colombo|S.L.T.B HEAD OFFICE|N|C|||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||409006671-7000|
